時間戳記,年級,就讀高中縣市,你知道2019年4/15巴黎聖母院發生什麼事了嗎？,你知道2019年4/10宣布了什麼天文學上的重大新聞嗎？,2018年中國科學家賀建奎發表了什麼造成全球學術界譁然？,你知道2019年4/21斯里蘭卡發生什麼事嗎？,你知道連續六年受假消息攻擊最嚴重的地方是？,你知道2018年臉書為什麼發生「刪帳號潮」嗎？,你知道2019年3/15在紐西蘭基督城發生了什麼事嗎？,你知道2019年4/25普丁和誰會面了嗎？,你知道2018年12/22印尼海嘯發生原因嗎？,你知道日本新年號是什麼嗎？,分數,平日資訊接收來源,意見回饋,您認為這份題目的難易度是?,這份問卷會讓你想要更加了解國際時事嗎?,,,,
4/28/2019 21:40:53,高二,高屏,火災,拍到黑洞周圍電磁波影像,不知道,政變,北韓,隱私外洩,不知道,金正恩,海底地震,不知道,40 / 100,"電視, 網路新聞, Facebook",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 21:42:00,高三,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,以上皆非,不知道,隱私外洩,槍擊案,以上皆非,海底地震,令和,60 / 100,"電視, 網路新聞, 巴哈姆特討論區, Facebook, Instagram",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 22:44:46,高一,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,不知道,不知道,不知道,不知道,海底地震,令和,40 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 21:46:10,其他,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,地震,大陸,隱私外洩,槍擊案,習近平,海底地震,善化,50 / 100,"廣播, Facebook, Instagram, 他人告知、口耳相傳, 其他",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 21:47:43,高三,基北北,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,不知道,隱私外洩,槍擊案,不知道,不知道,令和,60 / 100,"網路新聞, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/28/2019 21:48:02,其他,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,火山爆發,令和,100 / 100,"電視, 廣播, Facebook, Instagram, 他人告知、口耳相傳, 其他",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,5,,,,
4/28/2019 21:48:16,其他,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,火山爆發,令和,100 / 100,"電視, 廣播, Facebook, Instagram, 他人告知、口耳相傳, 其他",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,5,,,,
4/28/2019 22:52:33,高一,雲嘉南,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,不知道,伺服器搬家造成大當機,不知道,習近平,海底地震,令和,40 / 100,"電視, 網路新聞, Facebook, Instagram, 其他",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 21:49:28,高三,雲嘉南,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,不知道,隱私外洩,槍擊案,金正恩,火山爆發,不知道,70 / 100,Facebook,,馬馬虎虎，就像我們連梗都懶得想一樣,5,,,,
4/28/2019 21:50:12,高三,雲嘉南,恐怖攻擊,拍到黑洞周圍電磁波影像,不知道,不知道,北韓,隱私外洩,槍擊案,金正恩,不知道,寬平,40 / 100,"電視, Facebook",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 21:53:12,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,芬蘭,隱私外洩,槍擊案,金正恩,海底地震,令和,80 / 100,網路新聞,額,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 23:12:51,高一,高屏,火災,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,不知道,不知道,金正恩,不知道,令和,40 / 100,"網路新聞, PTT",,這些事有發生過哦，怕豹.jpg,5,,,,
4/28/2019 21:55:25,高二,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,大陸,隱私外洩,槍擊案,川普,火山爆發,令和,70 / 100,"網路新聞, Facebook, Instagram, PTT",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/28/2019 21:57:08,高三,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,核彈試射,令和,90 / 100,"電視, 網路新聞, Facebook",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,3,,,,
4/28/2019 23:38:05,高一,基北北,火災,拍到黑洞周圍電磁波影像,不知道,地震,北韓,隱私外洩,槍擊案,習近平,海底地震,不知道,40 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳, Dcard",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/28/2019 23:59:55,高一,彰中投,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,不知道,不知道,槍擊案,不知道,海底地震,不知道,40 / 100,"報章雜誌, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳, Dcard",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/29/2019 0:24:22,高一,桃竹苗,火災,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,隱私外洩,不知道,不知道,不知道,令和,40 / 100,"電視, 網路新聞, Facebook, 他人告知、口耳相傳",,這些事有發生過哦，怕豹.jpg,4,,,,
4/29/2019 6:10:43,高一,基北北,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,不知道,不知道,不知道,不知道,不知道,令和,40 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,這些事有發生過哦，怕豹.jpg,5,,,,
4/28/2019 22:06:12,高二,彰中投,火災,拍到黑洞周圍電磁波影像,器官活摘合法論,爆炸案,大陸,隱私外洩,不知道,金正恩,海底地震,令和,60 / 100,"電視, 廣播, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/29/2019 6:40:55,高一,基北北,火災,拍到黑洞周圍電磁波影像,不知道,不知道,大陸,隱私外洩,不知道,不知道,不知道,令和,40 / 100,"電視, 網路新聞, Instagram, 他人告知、口耳相傳, Dcard",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 22:11:27,高三,雲嘉南,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,不知道,臉書被中資收購,不知道,不知道,海底地震,不知道,30 / 100,"電視, 報章雜誌, 網路新聞, Facebook, PTT",我好想建議全台宿舍都要裝電視啦rrrr自從住宿我的新聞來源都是手機,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/29/2019 7:18:43,高一,桃竹苗,恐怖攻擊,以上皆非,不知道,不知道,芬蘭,隱私外洩,槍擊案,不知道,火山爆發,令和,40 / 100,"電視, 報章雜誌, 網路新聞, Facebook, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 22:12:55,高三,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,不知道,不知道,不知道,不知道,不知道,令和,40 / 100,"Facebook, Instagram",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/29/2019 7:26:50,高一,基北北,火災,不知道,基因改造嬰兒,不知道,大陸,不知道,不知道,川普,火山爆發,令和,40 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 22:14:16,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,大陸,隱私外洩,槍擊案,金正恩,火山爆發,令和,90 / 100,"網路新聞, Facebook, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/29/2019 7:52:59,高一,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,不知道,大陸,隱私外洩,不知道,不知道,不知道,令和,40 / 100,"Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/29/2019 17:34:38,高一,雲嘉南,恐怖攻擊,拍到黑洞周圍電磁波影像,以上皆非,爆炸案,北韓,隱私外洩,以上皆非,習近平,不知道,令和,40 / 100,"電視, 廣播, 報章雜誌, 網路新聞, Facebook, Instagram, Twitter, PTT, Dcard",第二頁都用填充題，避免認知上的差距,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,1,,,,
4/29/2019 18:35:35,高一,桃竹苗,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,地震,芬蘭,伺服器搬家造成大當機,槍擊案,川普,海底地震,令和,40 / 100,"網路新聞, Instagram, 他人告知、口耳相傳",,這些事有發生過哦，怕豹.jpg,5,,,,
4/28/2019 22:16:38,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,不知道,隱私外洩,槍擊案,金正恩,不知道,令和,80 / 100,"網路新聞, Facebook",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/28/2019 22:18:10,高二,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,大陸,臉書被中資收購,不知道,金正恩,海底地震,令和,50 / 100,"電視, 報章雜誌, 網路新聞, Facebook",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/28/2019 22:19:01,高三,彰中投,不知道,拍到黑洞周圍電磁波影像,不知道,不知道,以上皆非,隱私外洩,不知道,不知道,海底地震,令和,40 / 100,"電視, 網路新聞, Facebook, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 22:22:35,高三,彰中投,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,政變,大陸,隱私外洩,槍擊案,金正恩,海底地震,令和,60 / 100,"電視, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,5,,,,
4/29/2019 19:31:15,高一,基北北,火災,拍到黑洞周圍電磁波影像,器官活摘合法論,不知道,不知道,隱私外洩,不知道,川普,海底地震,令和,40 / 100,"Facebook, Instagram, Twitter, PTT",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/29/2019 20:32:57,高一,桃竹苗,火災,拍到黑洞周圍電磁波影像,不知道,地震,不知道,隱私外洩,不知道,不知道,不知道,令和,40 / 100,"電視, 網路新聞, Instagram",加油加油(≧▽≦),這些事有發生過哦，怕豹.jpg,4,,,,
4/29/2019 20:38:35,高一,彰中投,槍擊,拍到黑洞周圍電磁波影像,器官活摘合法論,爆炸案,大陸,伺服器搬家造成大當機,羊群暴動踐踏傷人,金正恩,海底地震,令和,40 / 100,"網路新聞, Facebook, Instagram, Twitter, Dcard",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 22:24:19,高三,彰中投,火災,拍到黑洞周圍電磁波影像,以上皆非,不知道,以上皆非,隱私外洩,槍擊案,川普,海底地震,以上皆非,50 / 100,"網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/29/2019 20:43:58,高一,宜蘭、花東,火災,不知道,基因改造嬰兒,不知道,不知道,隱私外洩,槍擊案,不知道,海底地震,不知道,40 / 100,"電視, 網路新聞, Facebook",,這些事有發生過哦，怕豹.jpg,3,,,,
4/28/2019 22:24:41,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,火山爆發,令和,100 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 22:24:42,高二,基北北,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,大陸,伺服器搬家造成大當機,不知道,川普,海底地震,令和,40 / 100,"報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 22:24:48,高三,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,火山爆發,令和,100 / 100,"電視, 網路新聞, Facebook, Twitter",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,1,,,,
4/29/2019 21:43:45,高一,雲嘉南,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,大陸,隱私外洩,羊群暴動踐踏傷人,習近平,海底地震,寬平,40 / 100,"網路新聞, Facebook, 他人告知、口耳相傳, Dcard",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/29/2019 23:26:52,高一,桃竹苗,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,不知道,隱私外洩,不知道,不知道,不知道,不知道,40 / 100,"網路新聞, Instagram, 他人告知、口耳相傳",最後一頁好好笑ww，加油喔,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 22:27:27,高二,雲嘉南,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,不知道,隱私外洩,槍擊案,金正恩,海底地震,不知道,60 / 100,"網路新聞, Facebook, 其他",我都看dcard得知時事,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/30/2019 8:09:19,高一,桃竹苗,火災,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,隱私外洩,不知道,不知道,不知道,令和,40 / 100,"電視, 報章雜誌, 網路新聞, Facebook",,這些事有發生過哦，怕豹.jpg,3,,,,
4/28/2019 22:29:20,其他,雲嘉南,火災,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,不知道,不知道,不知道,海底地震,令和,30 / 100,"電視, 網路新聞, 巴哈姆特討論區, PTT, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 22:32:51,高三,彰中投,火災,不知道,以上皆非,爆炸案,大陸,隱私外洩,槍擊案,金正恩,海底地震,令和,60 / 100,"廣播, 網路新聞, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/30/2019 11:55:39,高一,雲嘉南,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,北韓,隱私外洩,以上皆非,不知道,海底地震,不知道,40 / 100,"網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳, Dcard",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 22:33:29,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,政變,以上皆非,隱私外洩,槍擊案,金正恩,海底地震,令和,80 / 100,"巴哈姆特討論區, PTT",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,5,,,,
4/30/2019 12:26:32,高一,桃竹苗,火災,拍到黑洞周圍電磁波影像,以上皆非,地震,北韓,隱私外洩,不知道,不知道,海底地震,令和,40 / 100,電視,,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 22:34:49,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,政變,以上皆非,隱私外洩,槍擊案,金正恩,海底地震,令和,80 / 100,"巴哈姆特討論區, PTT",,簡單到跟垃圾一樣，瞎機巴亂猜都對（挖鼻孔）,5,,,,
4/28/2019 22:35:30,高三,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,北韓,隱私外洩,不知道,不知道,海底地震,不知道,40 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",我以為是指考社會,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/30/2019 13:07:58,高一,彰中投,火災,不知道,基因改造嬰兒,不知道,不知道,隱私外洩,不知道,不知道,海底地震,令和,40 / 100,"電視, 廣播, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
4/28/2019 22:36:41,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,不知道,隱私外洩,不知道,不知道,不知道,令和,60 / 100,"報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/30/2019 17:31:44,高一,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,不知道,不知道,隱私外洩,不知道,不知道,不知道,令和,40 / 100,"報章雜誌, 網路新聞, Facebook, Twitter, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 22:39:44,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,海底地震,令和,90 / 100,"電視, 網路新聞, Facebook",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/30/2019 17:33:49,高一,基北北,火災,拍到黑洞周圍電磁波影像,不知道,地震,大陸,不知道,槍擊案,川普,火山爆發,善化,40 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳, 其他",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/28/2019 22:40:00,高二,桃竹苗,火災,拍到黑洞周圍電磁波影像,器官活摘合法論,爆炸案,以上皆非,隱私外洩,不知道,不知道,不知道,令和,60 / 100,"電視, 網路新聞, Facebook, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/28/2019 22:42:42,高三,雲嘉南,火災,拍到黑洞周圍電磁波影像,以上皆非,爆炸案,以上皆非,臉書被中資收購,槍擊案,金正恩,火山爆發,令和,80 / 100,"電視, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/30/2019 18:50:53,高一,彰中投,槍擊,拍到黑洞周圍電磁波影像,猴腦植入人體基因,政變,大陸,隱私外洩,槍擊案,以上皆非,海底地震,令和,40 / 100,"電視, Facebook, Instagram",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/28/2019 22:46:41,其他,基北北,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,不知道,不知道,槍擊案,金正恩,海底地震,寬平,50 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/30/2019 20:09:48,高一,基北北,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,不知道,不知道,不知道,不知道,金正恩,不知道,令和,40 / 100,"網路新聞, Facebook, Instagram, 他人告知、口耳相傳","愛因斯坦重力場方程式（英語：Einstein field equations）是一組含有10個方程式的方程組，由愛因斯坦於1915年[1]在廣義相對論中提出。此方程組描述了重力是由物質與能量所產生的時空彎曲所造成。[2]也就是說，如同牛頓的萬有引力理論中質量作為重力的來源，亦即有質量就可以產生重力，愛氏的相對論理論更進一步的指出，動量與能量皆可做為重力的來源，並且將「重力場」詮釋成「時空彎曲」。所以當我們知道物質與能量在時空中是如何分布的，就可以計算出時空的曲率，而時空彎曲的結果即是重力。

愛因斯坦重力場方程式是用來計算動量與能量所造成的時空曲率，再搭配測地線方程式，就可以求出物體在重力場中的運動軌跡。這個想法與電磁學的想法是類似的：當我們知道了空間中的電荷與電流(電磁場的來源)是如何分布的，藉由馬克士威方程組，我們可以計算出電場與磁場，再藉由勞倫茲力方程式，即可求出帶電粒子在電磁場中的軌跡。

僅在一些簡化的假設下，例如：假設時空是球對稱，此方程組才具有精確解。這些精確解常常被用來模擬許多宇宙中的重力現象，像是黑洞、膨脹宇宙、重力波。 ",馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/30/2019 23:34:20,高一,桃竹苗,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,不知道,以上皆非,不知道,不知道,不知道,令和,40 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/28/2019 22:48:12,高二,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,地震,以上皆非,隱私外洩,槍擊案,川普,海底地震,令和,70 / 100,"電視, 廣播, 報章雜誌, 網路新聞, 巴哈姆特討論區, Facebook, Instagram, PTT, 他人告知、口耳相傳",鋼鐵人死了,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
5/1/2019 16:07:08,高一,基北北,火災,不知道,基因改造嬰兒,政變,北韓,隱私外洩,不知道,金正恩,海底地震,不知道,40 / 100,"電視, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
5/3/2019 8:39:58,高一,宜蘭、花東,火災,拍到黑洞周圍電磁波影像,不知道,爆炸案,大陸,臉書被中資收購,地震,習近平,以上皆非,令和,40 / 100,"網路新聞, Instagram, 其他",,馬馬虎虎，就像我們連梗都懶得想一樣,5,,,,
5/4/2019 18:41:16,高一,宜蘭、花東,火災,不知道,不知道,不知道,不知道,隱私外洩,不知道,金正恩,海底地震,令和,40 / 100,Instagram,,這些事有發生過哦，怕豹.jpg,1,,,,
4/28/2019 22:52:10,高二,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,以上皆非,隱私外洩,槍擊案,不知道,海底地震,令和,70 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
5/5/2019 0:01:53,高一,桃竹苗,火災,拍到黑洞周圍電磁波影像,不知道,政變,不知道,以上皆非,槍擊案,以上皆非,海底地震,令和,40 / 100,"報章雜誌, Instagram, 他人告知、口耳相傳, Dcard",,中間偏難，跟你找到女朋友的可能一樣,4,,,,
5/6/2019 11:11:06,高一,基北北,火災,不知道,不知道,不知道,以上皆非,隱私外洩,不知道,不知道,不知道,令和,40 / 100,"網路新聞, Facebook, Instagram, 他人告知、口耳相傳, Dcard",,這些事有發生過哦，怕豹.jpg,4,,,,
4/28/2019 22:53:14,高二,桃竹苗,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,以上皆非,隱私外洩,槍擊案,以上皆非,海底地震,令和,70 / 100,"電視, 報章雜誌, 網路新聞, Facebook, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,5,,,,
4/28/2019 22:54:10,高三,桃竹苗,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,不知道,隱私外洩,槍擊案,金正恩,海底地震,令和,80 / 100,"Facebook, PTT",,這些事有發生過哦，怕豹.jpg,3,,,,
4/28/2019 22:54:16,高二,桃竹苗,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,以上皆非,伺服器搬家造成大當機,不知道,不知道,不知道,令和,50 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 22:54:29,高三,高屏,火災,拍到黑洞周圍電磁波影像,不知道,政變,不知道,隱私外洩,槍擊案,不知道,海底地震,令和,50 / 100,"電視, 網路新聞, Facebook, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
5/7/2019 20:52:03,高一,彰中投,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,不知道,不知道,隱私外洩,以上皆非,川普,海底地震,令和,40 / 100,"網路新聞, Facebook",,馬馬虎虎，就像我們連梗都懶得想一樣,4,,,,
4/28/2019 22:55:07,高三,桃竹苗,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,不知道,以上皆非,隱私外洩,不知道,不知道,不知道,令和,60 / 100,"網路新聞, Facebook, Instagram",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 19:48:04,高一,彰中投,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,不知道,不知道,不知道,不知道,金正恩,火山爆發,令和,50 / 100,"電視, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 22:55:40,高二,彰中投,火災,拍到黑洞周圍電磁波影像,不知道,不知道,以上皆非,隱私外洩,槍擊案,不知道,火山爆發,令和,70 / 100,"網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,5,,,,
4/28/2019 20:28:23,高一,基北北,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,地震,北韓,不知道,不知道,金正恩,海底地震,令和,50 / 100,"電視, 網路新聞, Facebook, 他人告知、口耳相傳",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/28/2019 20:39:57,高一,基北北,火災,拍到黑洞周圍電磁波影像,器官活摘合法論,爆炸案,大陸,隱私外洩,槍擊案,習近平,海底地震,不知道,50 / 100,"電視, Facebook, Instagram, Twitter",,中間偏難，跟你找到女朋友的可能一樣,3,,,,
4/28/2019 22:59:19,高三,基北北,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,不知道,大陸,不知道,槍擊案,不知道,不知道,令和,40 / 100,"電視, 報章雜誌, 網路新聞, Facebook, Instagram, PTT, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
4/28/2019 20:40:59,高一,基北北,火災,拍到黑洞周圍電磁波影像,以上皆非,爆炸案,不知道,隱私外洩,不知道,不知道,海底地震,令和,50 / 100,"電視, 網路新聞, 他人告知、口耳相傳, 其他",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 23:00:48,高三,彰中投,不知道,不知道,不知道,不知道,不知道,不知道,地震,不知道,不知道,不知道,0 / 100,"電視, 廣播, 報章雜誌, 網路新聞, Facebook, Instagram, 他人告知、口耳相傳",,中間偏難，跟你找到女朋友的可能一樣,5,,,,
4/28/2019 23:01:15,高三,彰中投,火災,拍到黑洞周圍電磁波影像,猴腦植入人體基因,爆炸案,不知道,隱私外洩,槍擊案,金正恩,海底地震,令和,70 / 100,"電視, 報章雜誌, 網路新聞, Facebook, 他人告知、口耳相傳, 其他",,中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,4,,,,
4/28/2019 23:01:42,高三,彰中投,火災,拍到黑洞周圍電磁波影像,基因改造嬰兒,爆炸案,以上皆非,隱私外洩,槍擊案,金正恩,海底地震,令和,90 / 100,"電視, 廣播, 網路新聞, Facebook, PTT, 他人告知、口耳相傳, 其他","我覺得問卷做得滿好的，謝謝你們的用心
雖然不知道你們的研究方法和研究目的，不過我覺得除了測試大家到底“知不知道”這些事情，也可以問問看大家對這些新聞的看法，用簡答題或關心程度的分數之類的，也可以調查大家新聞的來源（如哪些本地媒體/外媒），比較能看到高中生有沒有國際觀，說不定有人全部答對但是對這些新聞的看法都很偏頗之類的（？）
但是這樣又會沒什麼人想填問卷啦哈哈哈
只是一點個人想法不用太在意，我還是覺得你們ㄉ問卷做得很好

PS. 假消息那題，用「大陸」滿政治不正確的（？）畢竟大陸有美洲大陸歐洲大陸嘛，可以寫中國或中國大陸。
",中間偏易，跟你被人爆復仇者聯盟4的雷的機率一樣,3,,,,
4/28/2019 20:45:13,高一,基北北,火災,拍到黑洞周圍電磁波影像,不知道,政變,北韓,隱私外洩,不知道,金正恩,以上皆非,令和,50 / 100,"電視, 巴哈姆特討論區, Facebook, Instagram, 他人告知、口耳相傳",,馬馬虎虎，就像我們連梗都懶得想一樣,3,,,,
